Date,Vehicle ID,Route,Time,Location,Energy Level,Energy Consumed,Distance,Driving Time,Idle Time,Parking Time
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:01:46,"-74.007976,40.714872",89.89,0.63,0.40,0.03,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:02:50,"-74.005772,40.717674",89.87,0.08,0.36,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:03:19,"-74.005145,40.719062",89.85,0.15,0.17,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:04:19,"-74.005307,40.721712",89.81,0.24,0.30,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:05:10,"-74.007623,40.723631",89.73,0.44,0.30,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:05:39,"-74.006965,40.725010",89.65,0.46,0.17,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:07:46,"-74.015461,40.726634",89.57,0.46,0.78,0.04,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:12:13,"-74.035070,40.729769",89.07,2.82,1.70,0.07,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:13:01,"-74.037792,40.731388",88.98,0.51,0.29,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:14:05,"-74.042651,40.731840",88.88,0.54,0.41,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:14:47,"-74.048005,40.731687",88.78,0.59,0.46,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:15:07,"-74.051385,40.731229",88.62,0.89,0.29,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:16:23,"-74.059736,40.737896",87.88,4.18,1.03,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:16:35,"-74.061527,40.738868",87.88,0.01,0.19,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:16:45,"-74.063206,40.739270",87.88,0.01,0.15,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:17:17,"-74.068699,40.739122",87.91,0.00,0.46,0.01,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:17:34,"-74.072709,40.738765",87.95,0.00,0.34,0.00,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:18:29,"-74.085283,40.736469",87.67,1.63,1.09,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:19:54,"-74.105119,40.734577",87.17,2.80,1.69,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:21:15,"-74.124908,40.734661",86.64,2.99,1.68,0.02,0.00,0.00
2025-03-21,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,route,2025-03-21 08:22:16,"-74.136659,40.728409",86.06,3.30,1.21,0.02,0.00,0.00
