Time,Vehicle ID,Location ID,Start Level,End Level,Energy Added,Duration
2025-03-21 09:49:58,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.68,59.68,161.03,1.47
2025-03-21 12:11:32,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.56,59.56,161.03,1.47
2025-03-21 14:19:04,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,26.69,56.69,161.03,1.47
2025-03-21 16:29:27,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,28.48,58.48,161.03,1.47
2025-03-21 18:35:20,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.24,59.24,161.03,1.47
2025-03-21 20:59:11,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.42,59.42,161.03,1.47
2025-03-21 23:13:37,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.99,59.99,161.03,1.47
2025-03-22 01:35:50,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.66,59.66,161.03,1.47
2025-03-22 03:54:41,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,19261073-ad0a-4070-bb56-d5e189df4ad7,29.93,59.93,161.03,1.47
2025-03-22 06:19:29,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,103a34fc-98fe-409d-ab2b-4a9e294cb5f2,29.76,59.76,161.03,1.47
2025-03-22 08:37:13,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,103a34fc-98fe-409d-ab2b-4a9e294cb5f2,29.25,59.25,161.03,1.47
2025-03-22 10:59:27,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,103a34fc-98fe-409d-ab2b-4a9e294cb5f2,29.85,59.85,161.03,1.47
2025-03-22 13:17:25,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,103a34fc-98fe-409d-ab2b-4a9e294cb5f2,28.33,58.33,161.03,1.47
2025-03-22 15:43:13,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,103a34fc-98fe-409d-ab2b-4a9e294cb5f2,29.82,59.82,161.03,1.47
2025-03-22 18:07:47,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,b037c8b8-caf0-4d89-9ab6-e438c15461a2,29.94,59.94,161.03,1.47
2025-03-22 20:29:17,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,b037c8b8-caf0-4d89-9ab6-e438c15461a2,29.59,59.59,161.03,1.47
2025-03-22 22:48:22,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,b037c8b8-caf0-4d89-9ab6-e438c15461a2,28.70,58.70,161.03,1.47
2025-03-23 00:56:51,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,b037c8b8-caf0-4d89-9ab6-e438c15461a2,29.72,59.72,161.03,1.47
2025-03-23 03:09:53,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,b037c8b8-caf0-4d89-9ab6-e438c15461a2,28.85,58.85,161.03,1.47
2025-03-23 05:24:50,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,afdb053b-c4f2-44cf-a1eb-c761ad9031e3,29.62,59.62,161.03,1.47
2025-03-23 07:37:19,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,afdb053b-c4f2-44cf-a1eb-c761ad9031e3,29.64,59.64,161.03,1.47
2025-03-23 09:05:45,vehicle_d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,59824cf3-ff27-479f-b804-08dd13aeb0fa,59.64,90.00,171.56,1.49
