Date,Vehicle ID,Vehicle Make,Vehicle Model,Route,Time,Location,Energy Level,Energy Consumed,Distance,Driving Time,Idle Time,Parking Time,Elevation,Road Grade,Traffic Stops,Estimated Speed,Temperature
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:01:56,"-74.010247,40.714437",89.96,0.20,0.41,0.03,0.00,0.00,10.50,-0.7929,1,12.55,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:03:33,"-74.012757,40.717135",89.99,0.00,0.48,0.03,0.00,0.00,6.00,-1.2671,1,17.95,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:04:50,"-74.011252,40.724190",89.86,0.71,0.80,0.02,0.00,0.00,1.80,-0.0669,2,37.08,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:05:18,"-74.009851,40.725007",89.76,0.55,0.21,0.01,0.00,0.00,0.90,1.1527,1,27.59,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:06:27,"-74.007719,40.723926",89.66,0.60,0.26,0.02,0.00,0.00,2.40,0.6004,1,13.27,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:07:15,"-74.007152,40.725416",89.57,0.49,0.19,0.01,0.00,0.00,4.10,0.5209,0,14.40,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:13:33,"-74.026304,40.728443",89.40,0.96,1.66,0.10,0.00,0.00,5.10,-0.6454,4,15.84,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:16:44,"-74.035844,40.730239",89.12,1.62,0.84,0.05,0.00,0.00,0.00,0.3876,2,15.84,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:18:05,"-74.039567,40.731557",89.00,0.65,0.36,0.02,0.00,0.00,1.90,0.3091,1,15.95,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:19:02,"-74.042990,40.731870",88.93,0.40,0.29,0.02,0.00,0.00,2.90,0.0207,1,18.20,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:19:39,"-74.048899,40.732048",88.83,0.56,0.50,0.01,0.00,0.00,3.10,0.2126,1,47.90,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:19:45,"-74.050716,40.731682",88.74,0.53,0.16,0.00,0.00,0.00,2.80,0.9335,0,83.88,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:19:58,"-74.052314,40.729179",88.72,0.09,0.31,0.00,0.00,0.00,12.80,-1.0030,0,83.88,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:21:00,"-74.055910,40.716388",88.00,4.09,1.46,0.02,0.00,0.00,2.70,0.6184,0,83.88,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:21:21,"-74.054277,40.712266",87.91,0.47,0.48,0.01,0.00,0.00,5.20,-0.5424,0,80.91,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:21:34,"-74.055491,40.709830",87.79,0.69,0.29,0.00,0.00,0.00,1.70,0.3540,0,79.92,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:22:08,"-74.062440,40.706190",87.61,1.03,0.71,0.01,0.00,0.00,2.70,-0.1901,0,74.70,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:22:48,"-74.067332,40.702114",87.32,1.60,0.62,0.01,0.00,0.00,5.30,1.0933,1,55.08,32.17
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:23:07,"-74.069662,40.700375",87.33,0.00,0.28,0.01,0.00,0.00,12.80,-1.0353,0,51.52,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:23:35,"-74.073969,40.698715",87.26,0.39,0.41,0.01,0.00,0.00,5.40,0.0191,1,51.12,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:23:57,"-74.077723,40.697282",87.20,0.35,0.36,0.01,0.00,0.00,5.70,0.0263,1,56.16,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:24:19,"-74.080345,40.695509",87.11,0.48,0.30,0.01,0.00,0.00,5.80,0.0501,0,48.10,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:25:45,"-74.086641,40.689363",86.78,1.86,0.87,0.02,0.00,0.00,6.10,0.8992,2,36.00,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:26:56,"-74.093997,40.686012",86.64,0.78,0.74,0.02,0.00,0.00,8.80,0.0954,2,37.03,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:28:44,"-74.102085,40.689713",86.48,0.93,0.84,0.03,0.00,0.00,10.90,-0.0018,2,28.06,32.03
2025-06-12,d8d5b1d5-210b-485c-9f2b-7c55e42c002f_route_0,Volvo,VNRe with 565 kWH,route,2025-06-12 08:32:40,"-74.138342,40.701463",86.15,1.85,3.34,0.07,0.00,0.00,11.90,-0.4188,5,50.80,32.03
